solver_name,study_id,result_state_id,load_case,entity_ref,location_kind,node_id,dx,dy,dz,drx,dry,drz,translation_magnitude,rotation_magnitude
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s13_mid,analysis_node,pipe_bend_1_s13_mid,0.00939412,0.000540356,-0.00319499,-0.000220632,-0.00640744,6.6477e-05,0.009937275093366189,0.00641158209996199
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s14_mid,analysis_node,pipe_bend_1_s14_mid,0.00920827,0.00055493,-0.00315159,-0.000183716,-0.00642716,6.52804e-05,0.00974847184054506,0.006430116543646792
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s15_mid,analysis_node,pipe_bend_1_s15_mid,0.00901931,0.000563979,-0.00310776,-0.00014777,-0.00644375,6.41269e-05,0.009556369467854462,0.00644576312741196
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s1_mid,analysis_node,pipe_bend_1_s1_mid,0.0108069,7.0294e-05,-0.00341492,-0.000705819,-0.00591545,-2.82191e-05,0.011333830220311049,0.005957476435611459
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s2_mid,analysis_node,pipe_bend_1_s2_mid,0.0107728,0.000118622,-0.00342591,-0.000665017,-0.00597186,-5.09978e-06,0.011305049771981724,0.006008775705386668
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s3_mid,analysis_node,pipe_bend_1_s3_mid,0.0107211,0.00016744,-0.00343094,-0.00062386,-0.00602626,1.4118e-05,0.011257946999662061,0.006058482500191282
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s4_mid,analysis_node,pipe_bend_1_s4_mid,0.0106519,0.000216044,-0.00343003,-0.000582474,-0.00607831,2.97379e-05,0.0111926205341214,0.006106227375349891
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s5_mid,analysis_node,pipe_bend_1_s5_mid,0.010566,0.000263742,-0.00342326,-0.000540991,-0.00612771,4.20966e-05,0.011109843602416913,0.006151688648648642
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s6_mid,analysis_node,pipe_bend_1_s6_mid,0.0104639,0.000309862,-0.00341083,-0.00049954,-0.00617421,5.15489e-05,0.011010130742091303,0.006194599795369448
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s7_mid,analysis_node,pipe_bend_1_s7_mid,0.0103466,0.00035376,-0.00339299,-0.00045825,-0.00621761,5.84593e-05,0.010894478364644173,0.006234748163667599
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s8_mid,analysis_node,pipe_bend_1_s8_mid,0.0102153,0.000394833,-0.00337005,-0.000417247,-0.00625776,6.31948e-05,0.01076408306314983,0.006271973282736147
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s9_mid,analysis_node,pipe_bend_1_s9_mid,0.010071,0.000432522,-0.00334244,-0.000376653,-0.00629456,6.61173e-05,0.010619982176730994,0.006306165599900489
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_str_0_mid,analysis_node,pipe_str_0_mid,-6.78379e-19,0.00372058,-0.000371496,-0.00083287,0.000244093,0.00244888,0.003739080744570248,0.0025981276111748247
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_str_1_mid,analysis_node,pipe_str_1_mid,0.00961839,-0.00143054,-0.00207274,-0.00173006,-0.00381531,-0.00298427,0.009942641600263986,0.005143497393077982
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_str_2_mid,analysis_node,pipe_str_2_mid,0.0028495,0.000315741,-0.00154547,0.00045237,-0.00506051,3.18052e-05,0.0032569648677842687,0.0050807884868145255
