#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000034 CALCULE LE 10/09/2026 A 01:01:07 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ
RESU            ,DEPL            , 0.00000E+00,           1,121     ,-8.00000E-02, 3.54182E-02, 1.85889E-02, 0.00000E+00, 1.89552E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,122     ,-8.00000E-02, 2.99404E-02, 2.65249E-02, 0.00000E+00,-4.25896E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,123     ,-8.00000E-02, 2.27226E-02, 3.29194E-02, 0.00000E+00, 7.05108E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,124     ,-8.00000E-02, 1.41842E-02, 3.74006E-02, 0.00000E+00,-1.92365E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,125     ,-8.00000E-02, 4.82147E-03, 3.97084E-02, 0.00000E+00,-4.38637E-25, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,126     ,-8.00000E-02,-2.41514E-03, 3.99270E-02, 0.00000E+00, 1.38786E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,127     ,-8.00000E-02,-7.21020E-03, 3.93448E-02, 0.00000E+00,-1.34817E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,128     ,-8.00000E-02,-1.19001E-02, 3.81888E-02, 0.00000E+00,-5.34447E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,129     ,-8.00000E-02,-1.64165E-02, 3.64760E-02, 0.00000E+00,-4.38697E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,130     ,-8.00000E-02,-2.06935E-02, 3.42313E-02, 0.00000E+00,-3.36527E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,131     ,-8.00000E-02,-2.46688E-02, 3.14873E-02, 0.00000E+00,-1.35523E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,132     ,-8.00000E-02,-2.82843E-02, 2.82843E-02, 0.00000E+00,-2.53864E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,133     ,-8.00000E-02,-3.14873E-02, 2.46688E-02, 0.00000E+00,-1.30782E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,134     ,-8.00000E-02,-3.42313E-02, 2.06935E-02, 0.00000E+00, 8.23858E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,135     ,-8.00000E-02,-3.64760E-02, 1.64165E-02, 0.00000E+00,-8.93329E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,136     ,-8.00000E-02,-3.81888E-02, 1.19001E-02, 0.00000E+00,-2.90170E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,137     ,-8.00000E-02,-3.93448E-02, 7.21020E-03, 0.00000E+00,-7.75702E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,138     ,-8.00000E-02,-3.99270E-02, 2.41514E-03, 0.00000E+00, 7.00456E-25, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,139     ,-8.00000E-02,-3.99270E-02,-2.41514E-03, 0.00000E+00, 9.20743E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,140     ,-8.00000E-02,-3.93448E-02,-7.21020E-03, 0.00000E+00,-6.99675E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,141     ,-8.00000E-02,-3.81888E-02,-1.19001E-02, 0.00000E+00,-7.19755E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,142     ,-8.00000E-02,-3.64760E-02,-1.64165E-02, 0.00000E+00,-6.00618E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,143     ,-8.00000E-02,-3.42313E-02,-2.06935E-02, 0.00000E+00, 4.25433E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,144     ,-8.00000E-02,-3.14873E-02,-2.46688E-02, 0.00000E+00, 5.28399E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,145     ,-8.00000E-02,-2.82843E-02,-2.82843E-02, 0.00000E+00,-9.01208E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,146     ,-8.00000E-02,-2.46688E-02,-3.14873E-02, 0.00000E+00, 4.78070E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,147     ,-8.00000E-02,-2.06935E-02,-3.42313E-02, 0.00000E+00,-2.35120E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,148     ,-8.00000E-02,-1.64165E-02,-3.64760E-02, 1.02677E-23,-4.90914E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,149     ,-8.00000E-02,-1.19001E-02,-3.81888E-02, 0.00000E+00, 6.42409E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,150     ,-8.00000E-02,-7.21020E-03,-3.93448E-02, 0.00000E+00, 1.22917E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,151     ,-8.00000E-02,-2.41514E-03,-3.99270E-02, 0.00000E+00, 2.51346E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,152     ,-8.00000E-02, 2.41514E-03,-3.99270E-02, 0.00000E+00,-2.22109E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,153     ,-8.00000E-02, 7.21020E-03,-3.93448E-02, 0.00000E+00,-2.53071E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,154     ,-8.00000E-02, 1.19001E-02,-3.81888E-02, 3.00516E-23, 1.37818E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,155     ,-8.00000E-02, 1.64165E-02,-3.64760E-02, 0.00000E+00, 3.72213E-25, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,156     ,-8.00000E-02, 2.06935E-02,-3.42313E-02, 0.00000E+00,-1.00090E-25, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,157     ,-8.00000E-02, 2.46688E-02,-3.14873E-02, 0.00000E+00,-4.64214E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,158     ,-8.00000E-02, 2.82843E-02,-2.82843E-02, 0.00000E+00,-6.60570E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,159     ,-8.00000E-02, 3.14873E-02,-2.46688E-02, 0.00000E+00,-2.23965E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,160     ,-8.00000E-02, 3.42313E-02,-2.06935E-02, 0.00000E+00, 1.43834E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,161     ,-8.00000E-02, 3.64760E-02,-1.64165E-02, 0.00000E+00, 2.72988E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,162     ,-8.00000E-02, 3.81888E-02,-1.19001E-02, 0.00000E+00,-3.37915E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,163     ,-8.00000E-02, 3.93448E-02,-7.21020E-03, 0.00000E+00, 7.17449E-25, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,164     ,-8.00000E-02, 3.99270E-02,-2.41514E-03, 0.00000E+00,-9.09952E-24, 0.00000E+00
